province,hotel_guest,total_visitor,thai_visitor,foreign_visitor
Bangkok,35267785,64605920,40348164,24257756
Lop Buri,582977,3576382,3555029,21353
Phra Nakhon Si Ayutthaya,1081283,8197425,6153084,2044341
Saraburi,901613,4371198,4265330,105868
Chai Nat,285425,858768,854237,4531
Nakhon Pathom,1258882,4117758,3990940,126818
Sing Buri,161670,552140,549163,2977
Ang Thong,173443,811720,779013,32707
Nonthaburi,879305,2664606,2435350,229256
Pathum Thani,535624,2119148,1516051,603097
Samut Prakan,982430,3370400,2180090,1190310
Samut Sakhon,688344,1566982,1562552,4430
Chachoengsao,482569,3427353,3395283,32070
Ratchaburi,897446,2252705,2186597,66108
Kanchanaburi,3281628,9392457,8902751,489706
Samut Songkhram,774862,2039073,1988302,50771
Suphan Buri,1007864,3309761,3280933,28828
Phetchaburi,3872955,9064619,8515431,549188
Prachuap Khiri Khan,4291512,7177570,5941320,1236250
Chon Buri,14922164,18354227,8588391,9765836
Chanthaburi,1610136,2486465,2391177,95288
Trat,1943184,2166176,1637365,528811
Nakhon Nayok,1697310,3057080,3027730,29350
Prachin Buri,994907,1668388,1562966,105422
Rayong,4248085,7672012,7115312,556700
Sa Kaeo,807912,2240419,1955806,284613
Phuket,12761223,14383348,4054396,10328952
Phatthalung,837874,1684560,1667649,16911
Trang,1148384,1596657,1393840,202817
Ranong,824369,1025144,966915,58229
Chumphon,1211440,1554099,1436799,117300
Pattani,247461,289113,286621,2492
Yala,634443,683576,148451,535125
Nakhon Si Thammarat,2623041,3972748,3879559,93189
Narathiwat,624392,688448,271440,417008
Krabi,4182089,6903490,2521416,4382074
Songkhla,5188856,7635378,4609816,3025562
Phangnga,1061355,4972456,1404719,3567737
Surat Thani,5432595,6104159,2398376,3705783
Satun,811638,1531300,1355145,176155
Kamphaeng Phet,430427,766970,743899,23071
Chiang Rai,3097426,3632245,3011546,620699
Chiang Mai,8323001,10844753,7592159,3252594
Phichit,432287,887972,882267,5705
Nakhon Sawan,1013869,1905366,1863105,42261
Tak,1714918,2221890,2178300,43590
 Phitsanulok,1911823,3338434,3121693,216741
Phayao,287007,649120,622443,26677
Phetchabun,1988134,2361203,2335204,25999
Phrae,360373,843969,776963,67006
Lampang,604758,1291730,1180000,111730
Lamphun,239675,1167148,1116482,50666
Mae Hong Son,951479,1004967,765089,239878
Uttaradit,635494,1054316,1045665,8651
Uthai Thani,374518,779577,772919,6658
Sukhothai,889715,1435988,1052316,383672
Nan,741875,939240,917727,21513
Kalasin,229116,726594,722687,3907
Khon Kaen,2210582,5207787,5128495,79292
Chaiyaphum,911961,1799318,1789163,10155
Nakhon Phanom,452484,1131141,1043681,87460
Nakhon Ratchasima,5568054,9989578,9787780,201798
Buri Ram,1080475,2014791,1944150,70641
Maha Sarakham,422103,724903,715095,9808
Mukdahan,585741,2085484,1901150,184334
Roi Et,450442,938750,932313,6437
Loei,1244177,2242568,2201781,40787
Si Sa Ket,390046,1532116,1511917,20199
Surin,1015212,1385204,1340741,44463
Nong Khai,1127544,2767610,2149002,618608
Bueng Kan,321626,601533,594757,6776
Udon Thani,1949540,3726286,3566060,160226
Ubon Ratchathani,1438161,3255991,3102407,153584
Sakon Nakhon,658096,1308282,1302852,5430
Yasothon,194005,624695,609018,15677
Amnat Charoen,101478,310739,301950,8789
Nong Bua Lam Phu,155251,387235,385384,1851
